,mean,std,min,max
mtx_UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis,5538.1313,16302.789,0.0,300844.0
mtx_UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae,1551.5161,16072.47,0.0,365159.0
mtx_UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans,3056.9736,16001.075,0.0,313179.0
mtx_UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae,6321.841,14997.793,0.0,147869.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris,8088.9507,14287.54,0.0,108533.0
mtx_UNINTEGRATED|g__Prevotella.s__Prevotella_copri_CAG_164,3346.864,13090.364,0.0,128087.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis,3934.1218,11869.299,0.0,101983.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii,2628.6204,10567.585,0.0,140077.0
mtx_UNINTEGRATED|g__Blautia.s__Ruminococcus_torques,2219.6826,9710.212,0.0,190038.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii,2476.5884,9684.669,0.0,119883.0
mtx_UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_bolteae,655.07104,8624.933,0.0,229601.0
mtx_UNINTEGRATED|g__Paraprevotella.s__Paraprevotella_clara,462.51422,8305.636,0.0,225742.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,3863.736,7446.6367,0.0,76985.5
mtx_UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus,766.17395,6630.9487,0.0,93033.6
mtx_UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,1439.1431,5666.3906,0.0,70016.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,2570.9377,5659.0767,0.0,102237.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprocola,674.61255,5595.2593,0.0,90450.1
mtx_UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii,1879.2926,5474.592,0.0,96826.5
mtx_UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila,917.72894,5130.011,0.0,65122.8
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_144,240.12404,5088.798,0.0,138340.0
mtx_UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_symbiosum,759.8167,5037.8237,0.0,88749.6
mtx_UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii,1660.0315,4807.43,0.0,65883.2
mtx_UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi,478.1114,4581.242,0.0,105158.0
mtx_UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis_CAG_13,668.47705,4568.913,0.0,78918.7
mtx_UNINTEGRATED|g__Prevotella.s__Prevotella_sp_885,485.45294,3991.5684,0.0,81244.6
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis_CAG_47,1444.494,3703.7495,0.0,32921.7
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis,959.9306,3582.738,0.0,54798.9
mtx_UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_1185,135.25325,3426.157,0.0,94550.5
mtx_UNINTEGRATED|g__Roseburia.s__Roseburia_faecis,611.33966,3420.1243,0.0,42801.4
mtx_UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum,405.5675,3381.3445,0.0,54838.2
mtx_UNINTEGRATED|g__Blautia.s__Blautia_obeum,695.84686,2963.202,0.0,31600.8
mtx_UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_massiliensis,193.43222,2854.329,0.0,69102.0
mtx_UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_johnsonii,272.0512,2634.2788,0.0,61601.4
mtx_UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_nucleatum,167.57828,2604.7712,0.0,60069.9
mtx_UNINTEGRATED|g__Dorea.s__Dorea_longicatena,358.79205,2596.1182,0.0,61062.1
mtx_UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans,278.37598,2483.6047,0.0,47474.2
mtx_UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_breve,88.24304,2447.0544,0.0,67858.9
mtx_UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis,237.92332,2382.636,0.0,39680.6
mtx_UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai,302.60587,2312.5095,0.0,38776.0
mtx_UNINTEGRATED|g__Prevotella.s__Prevotella_sp_AM42_24,262.65,2260.532,0.0,32067.9
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_plebeius,268.61853,2178.9941,0.0,32425.2
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus,651.1556,2163.2727,0.0,23937.5
mtx_UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis,1168.1852,2093.487,0.0,18037.4
mtx_UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_crispatus,72.667885,2015.1421,0.0,55881.6
mtx_UNINTEGRATED|g__Clostridium.s__Clostridium_neonatale,148.7468,1995.742,0.0,46688.0
mtx_UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea,174.99901,1775.5066,0.0,34568.8
mtx_UNINTEGRATED|g__Blautia.s__Blautia_wexlerae,182.88693,1756.291,0.0,44794.0
mtx_UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae_complex,61.947334,1717.8522,0.0,47637.5
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_plebeius_CAG_211,195.84607,1637.3328,0.0,22622.1
mtx_UNINTEGRATED|g__Dysgonomonas.s__Dysgonomonas_mossii,161.89784,1629.0793,0.0,22334.0
mtx_UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis_CAG_67,906.1981,1597.929,0.0,11719.9
mtx_UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum,98.02375,1547.3176,0.0,39333.9
mtx_UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_acidophilus,65.981186,1490.111,0.0,40694.6
